央视频道,#genre#
CCTV5+,http://222.95.43.220:9000/rtp/239.49.8.137:6000
CCTV5+,http://117.57.50.223:8888/rtp/238.1.78.237:7768
CCTV5+,http://114.217.85.116:7777/rtp/239.49.8.137:6000
CCTV5+,http://219.159.147.195:9901/tsfile/live/1007_1.m3u8?key=txiptv
CCTV5+,http://27.24.21.145:8888/rtp/239.69.1.12:9712
CCTV5+,http://117.57.50.225:8888/rtp/238.1.78.237:7768
CCTV5+,http://61.136.158.216:18888/rtp/239.69.1.12:9712
CCTV5+,http://121.19.134.153:808/tsfile/live/0018_1.m3u8?key=txiptv
CCTV5+,http://120.6.2.34:4000/rtp/239.253.92.82:8013
CCTV5+,http://115.153.77.81:6001/rtp/239.252.219.72:5140
CCTV5+,http://27.10.237.17:8000/rtp/225.0.4.73:7980
CCTV5+,http://175.163.201.174:60000/rtp/232.0.0.93:8750
CCTV5+,http://61.53.171.36:18888/rtp/225.1.4.75:1104
CCTV5+,http://223.151.49.74:59901/tsfile/live/0018_1.m3u8?key=txiptv
CCTV5+,http://125.46.132.39:9999/rtp/225.1.4.75:1104
CCTV5+,http://124.65.3.255:20000/rtp/239.3.1.130:8004
CCTV5+,http://125.123.22.55:6666/rtp/233.50.201.220:5140
CCTV5+,http://222.241.154.37:9901/tsfile/live/23018_1.m3u8?key=txiptv
CCTV5+,http://113.12.72.152:9901/tsfile/live/1005_1.m3u8?key=txiptv
CCTV5+,http://36.249.165.157:9901/tsfile/live/0016_1.m3u8?key=txiptv
CCTV5+,http://112.235.200.85:9901/tsfile/live/1000_1.m3u8?key=txiptv
CCTV5+,http://124.165.251.82:9999/tsfile/live/0019_1.m3u8?key=txiptv
CCTV5+,http://218.89.240.144:59901/tsfile/live/0016_1.m3u8?key=txiptv
CCTV6,http://183.94.1.118:8801/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://60.174.40.117:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://1.193.176.158:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://183.184.60.251:8085/rtp/226.0.2.210:9592
CCTV6,http://183.62.74.202:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://61.140.124.156:8888/rtp/239.77.0.178:5146
CCTV6,http://58.19.182.187:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://222.185.245.194:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://125.125.199.56:8888/rtp/233.50.201.198:5140
CCTV6,http://125.125.199.56:8888/rtp/233.50.200.109:5140
CCTV6,http://116.231.138.209:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://220.182.45.198:20088/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://125.123.194.171:9999/rtp/233.50.200.109:5140
CCTV6,http://219.159.147.195:9901/tsfile/live/1008_1.m3u8?key=txiptv
CCTV6,http://27.24.21.145:8888/rtp/239.69.1.124:10382
CCTV6,http://61.136.158.216:18888/rtp/239.69.1.124:10382
CCTV6,http://117.57.50.225:8888/rtp/238.1.78.172:7248
CCTV6,http://120.6.2.34:4000/rtp/239.253.92.193:6058
CCTV6,http://175.163.201.174:60000/rtp/232.0.0.194:9206
CCTV6,http://223.151.49.74:59901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://27.227.183.44:666/rtp/239.255.29.14:8231
CCTV6,http://124.65.3.255:20000/rtp/239.3.1.174:8001
CCTV6,http://222.241.154.37:9901/tsfile/live/23006_1.m3u8?key=txiptv
CCTV6,http://113.12.72.152:9901/tsfile/live/1006_1.m3u8?key=txiptv
CCTV6,http://115.231.200.110:9901/tsfile/live/0006_1.m3u8?key=txiptv
